attribut_ancien;valeur_ancienne;attribut_nouveaux;valeur_nouvelle
CODERISQUE;1120000;typealea;112
CODERISQUE;1130000;typealea;113
CODERISQUE;1140000;typealea;114
CODERISQUE;1150000;typealea;115
CODERISQUE;1160000;typealea;116
CODERISQUE;1170000;typealea;117
CODERISQUE;1210000;typealea;121
CODERISQUE;1230000;typealea;123
CODERISQUE;1240000;typealea;124
CODERISQUE;1250000;typealea;125
CODERISQUE;1260000;typealea;126
CODERISQUE;1270000;typealea;127
CODERISQUE;1300000;typealea;13
CODERISQUE;1400000;typealea;14
CODERISQUE;1500000;typealea;15
CODERISQUE;1600000;typealea;16
CODERISQUE;1710000;typealea;171
CODERISQUE;1720000;typealea;172
CODERISQUE;1740000;typealea;174
CODERISQUE;1750000;typealea;175
CODERISQUE;1760000;typealea;176
CODERISQUE;1800000;typealea;18
CODERISQUE;2110000;typealea;211
CODERISQUE;2120000;typealea;212
CODERISQUE;2130000;typealea;213
CODERISQUE;2140000;typealea;214
CODERISQUE;2200000;typealea;22
CODERISQUE;2300000;typealea;23
CODERISQUE;2400000;typealea;24
CODERISQUE;2500000;typealea;25
CODERISQUE;3110000;typealea;311
CODERISQUE;3120000;typealea;312
CODERISQUE;3130000;typealea;313
CODERISQUE;3140000;typealea;314
CODERISQUE;3150000;typealea;315
CODERISQUE;3160000;typealea;316
CODERISQUE;3170000;typealea;317
CODERISQUE;3210000;typealea;321
CODERISQUE;3220000;typealea;322
CODERISQUE;3300000;typealea;33
CODERISQUE;3400000;typealea;34
